"
如果本部的提面没过，还可以参加异地班的提面嘛？",不可以，同一所院校一年只能参加一个地区一个批次的提面，可以参加多所院校的提面，但是不可以参加一所院校的多个批次的提面。（极极极个别院校可以一年参加多个批次，比如华东理工）
什么是提前面试？提前面试的作用有哪些？,提前面试也叫预面试，是指把复试提前，在联考初试前先进行面试考察，也叫提前批。提前面试可以减轻笔试压力，多一次被录取的机会，同时有更多择校选择。院校提前录取占比也较高
提前面试的成绩都是怎么划分的？,每所院校的提面成绩都不相同，有的是优秀/良好/合格，有的是通过/不通过，有的是C/B/A线，有的是条件录取/条件递补录取等等，每档成绩所对应的笔试优待是不一样的，一般情况下，最好的那一档成绩，要么是以一个很低的线录取（大多数是国家线，别院校会低于国家线），要么就是优先录取，而其他档成绩要么是以一个比较高的线录取，要么是排序择优录取。 所以参加院校提前面试对最后上岸更优势。
学校为什么要设置提面？,MBA院校希望录取优秀的候选人，而提前面试是一个很好的筛选工具。通过面试，学校可以更好地了解候选人的背景、经验、能力和目标，并确定他们是否符合学校的招生标准。为了能够筛选到有着更好职业背景和管理潜质的优质考生，如果只设置正常批，筛到的更多是笔试高分的学霸，这个不是开设MBA项目的目的。
提前面试有英语吗？我英语差,"大部分院校提前面试有英语考核环节，但是对非全来说英语考核不会很难，提前做准备，把握好关键点，是没有问题的。某些国际MBA（IMBA）项目对英语要求会高一些，因为后续是全英授课，所以在面试环节就会有高要求。
"
"本科没有学位证可以申请吗？
","只要有教育部颁发的本科毕业证书，并且毕业后有3年以上工作经验即可报考，不要求一定有学位。
"
"全日制和非全日制学生的毕业证书及学位证书有何区别？
",全日制学生的毕业证书将注明“全日制”，非全日制学生的毕业证书将注明“非全日制”。两者毕业证书均不注明研究方向和招生类别。学位证书无区别。
录取类别分定向就业和非定向就业，两者有什么区别？,"定向就业考生不转入档案和户口，不享受应届毕业生待遇，并且拟录取后需与定向就业单位及学校签订定向就业协议。非定向就业考生可转入档案和户口，可享受应届毕业生待遇。非全日制考生只能选择定向就业。全日制考生可选择定向就业或非定向就业。
"
"专科毕业生是否可以报考？大专生在报考过程中是否有附加要求？
",可以报考，一般需符合专科毕业满5年以上工作经验的要求（个别院校不招收专科考生或者要求工作年限更高）。此外，大部分院校对于纯专科考生会有附加要求，比方要求考生需向学校提交一份工商管理方向的论文，或者要求有过相关的学科学习证明等，具体看院校的院校。
"现在签署的定向协议，就读期间或者毕业后可以换公司吗？
","可以，这个没有影响，正常提离职即可。但如果是公司给提供的学费，那你们之间可能会有另外的协议，这个如果想要换工作得看你们当时签署的协议具体条款。
"
非全日制的录取类别的定向就业是什么意思？,“定向就业”指的是考生不转入档案和户口，不享受应届毕业生待遇，并且拟录取后需与定向就业单位及学校签订定向就业协议。
"非全日制考生只能选择定向就业的录取类别吗？
","对，非全日制考生只能选择定向就业的录取类别。
"
"全日制考生必须选择非定向就业吗？
",全日制考生可选非定向就业，也可选择定向就业。
以非全日制参加提前批面试并获得通过，可以在全国硕士研究生报考时更改为全日制吗？,"可以改报全日制，但是以非全日制考生身份参加提前批面试的成绩无效。
"
"一般可选择性上传的材料在背景评分中有多大作用？可以不上传/填写吗？
","可以，但我们建议能填就填，这个是态度问题，另外学校也是希望从材料中尽可能多的了解你的个人特质和潜质。因此材料越充分越有助于学校对你做出更全面更准确的判断。
"
"如果提前批申请材料背景评分未通过或提前批面试未通过，本年内还可以再次申请提前批面试吗？
",不可以，每位申请人每年只能申请一次提前批，当年不接受第二次申请。极个别上海的院校可以换个批次重新申请。
"大学成绩单必须要加盖教务处或档案馆的印章吗？院系教学管理部门加盖印章出具的成绩章，是否认可？
",大学成绩单一般是由教务处或档案馆加盖印章，同时也认可院系加盖印章出具的成绩单。
每批提前批面试获得面试资格几率一致吗？申请靠前的批次会更容易通过吗？,"各批次几率基本一致，但还会受各批次的申请人数和考生整体素质的影响。申请靠前的批次通过率相对更高，建议优先选择前面批次，最后一两批往往名额不会很多。
"
工作年限如何计算？,"报考条件中对不同学历考生所要求的工作经历年限，是指从获得学历毕业证书（一般指每年的7月份）至被MBA项目录取 （一般指每年的9月1日前）之间的全职工作经历年限。特别注意，对于专升本考生，如果获得本科毕业证后工作经历不满三年，仍须以专科学历报考。
"
"提面通过了，但是笔试没有通过，该怎么办？
","如果提面通过了笔试没有通过，只能选择调剂或二战了。
"
北京有提前面试的全日制MBA院校？,北京地区全日制MBA有提面的院校有11所，分别是：清华大学经济管理学院、北京大学光华管理学院、中国人民大学商学院、北京理工大学、中国科学院大学、北京交通大学、中国传媒大学、中国政法大学、北京外国语大学、北京信息科技大学、中国社会科学院大学
北京地区有提前面试 MBA非全日制院校？,北京地区非全日制MBA有提面院校有26所，分别是：清华大学经济管理学院、清华大学五道口金融学院、北京大学光华管理学院、中国人民大学商学院、上海交通大学高级金融学院（北京）、北京理工大学、北京航空航天大学、北京师范大学、中央财经大学、对外经济贸易大学、长江商学院、中国农业大学、北京科技大学、中国科学院大学、北京邮电大学、北京交通大学、北京工业大学、中国传媒大学、中央民族大学、中国石油大学（北京）、中国政法大学、北京外国语大学、北京信息科技大学、中国社会科学院大学、北京第二外国语学院、首都经济贸易大学
